27075029,1200,120,144000
id,quantity,item_price,total_sum
27074847,100,220320,22032000.48
id,quantity,item_price,total_sum
27049677,5,99554.56,497772.8
27049676,5,147714.56,738572.8
id,quantity,item_price,total_sum
26960422,1200,125,150000
26960421,96,125,12000
id,quantity,item_price,total_sum
26939629,1,7342500.48,7342500.48
id,quantity,item_price,total_sum
26939507,30,89.6,2688
id,quantity,item_price,total_sum
26939370,25,1568,39200
26939369,25,168,4200
26939368,10,1064,10640
26939367,20,134.4,2688
id,quantity,item_price,total_sum
26939296,500,45,22500
26939295,50,550,27500
id,quantity,item_price,total_sum
26939089,50,2199,109950
26939088,50,2099,104950
26939087,5,2500,12500
id,quantity,item_price,total_sum
26898316,2000,19.04,38080
26898315,2000,31.36,62720
id,quantity,item_price,total_sum
26898287,1,233833.6,233833.6
26898286,4,200233.6,800934.4
26898285,1,128553.6,128553.6
id,quantity,item_price,total_sum
26898268,1,868000,868000
id,quantity,item_price,total_sum
26898219,16,258720,4139520
id,quantity,item_price,total_sum
26837544,16,258720,4139520
id,quantity,item_price,total_sum
26791052,10,395107,3951070
id,quantity,item_price,total_sum
26764712,5,4816,24080
id,quantity,item_price,total_sum
26764442,1,58961760,58961760
id,quantity,item_price,total_sum
26763987,1,69132320,69132320
id,quantity,item_price,total_sum
26749549,1,868000,868000
id,quantity,item_price,total_sum
26749366,1,880000,880000
id,quantity,item_price,total_sum
26749229,1,1187999,1187999
id,quantity,item_price,total_sum
26749099,2000,19.04,38080
26749098,2000,31.36,62720
id,quantity,item_price,total_sum
26748871,1,128553.6,128553.6
26748870,1,233833.6,233833.6
26748868,4,200233.6,800934.4
id,quantity,item_price,total_sum
26572536,1,47190,47190
id,quantity,item_price,total_sum
26571300,1,285875.52,285875.52
id,quantity,item_price,total_sum
26472202,1,283702.2,283702.2
id,quantity,item_price,total_sum
26471698,1,98896,98896
id,quantity,item_price,total_sum
26471224,1,16515296,16515296
id,quantity,item_price,total_sum
26339496,5,33600,168000
id,quantity,item_price,total_sum
26149881,1,150000,150000
id,quantity,item_price,total_sum
26149527,1,2000000,2000000
id,quantity,item_price,total_sum
26131854,1,168000,168000
id,quantity,item_price,total_sum
26130880,1,400000,400000
id,quantity,item_price,total_sum
26130023,1,210180,210180
id,quantity,item_price,total_sum
26108005,1,180000,180000
id,quantity,item_price,total_sum
26017995,1,4480000,4480000
id,quantity,item_price,total_sum
26015979,1200,125,150000
id,quantity,item_price,total_sum
26011505,12,2000,24000
id,quantity,item_price,total_sum
25608341,2,178888,357776
id,quantity,item_price,total_sum
25608075,1,188878,188878
id,quantity,item_price,total_sum
25607687,1,235468.8,235468.8
id,quantity,item_price,total_sum
25607333,2,81760,163520
id,quantity,item_price,total_sum
25606889,2,506120.16,1012240.32
id,quantity,item_price,total_sum
25606472,2,137500.16,275000.32
id,quantity,item_price,total_sum
25352139,1,30000000,30000000
id,quantity,item_price,total_sum
25351148,1,4250000,4250000
id,quantity,item_price,total_sum
25350730,1,8000000,8000000
id,quantity,item_price,total_sum
25350206,1,108000,108000
25350205,1,86400,86400
id,quantity,item_price,total_sum
25346533,1,50000,50000
id,quantity,item_price,total_sum
25263026,1,214444.88,214444.88
id,quantity,item_price,total_sum
25262689,1,924119.68,924119.68
id,quantity,item_price,total_sum
25243772,1,1500800,1500800
id,quantity,item_price,total_sum
25215176,1,728000,728000
id,quantity,item_price,total_sum
25136000,1,1200000,1200000
id,quantity,item_price,total_sum
25062156,1,220000,220000
id,quantity,item_price,total_sum
25061550,1,8928570,8928570
id,quantity,item_price,total_sum
25043052,1,1900000,1900000
id,quantity,item_price,total_sum
25042417,1,9800000,9800000
id,quantity,item_price,total_sum
25039869,1,950400,950400
id,quantity,item_price,total_sum
25039575,1,2000000,2000000
id,quantity,item_price,total_sum
25029257,1,69132320,69132320
id,quantity,item_price,total_sum
25029131,1,58961760,58961760
id,quantity,item_price,total_sum
25028800,1,243644.8,243644.8
id,quantity,item_price,total_sum
25028643,1,38989.98,38989.98
id,quantity,item_price,total_sum
25028494,1,138380.01,138380.01
id,quantity,item_price,total_sum
25028195,1,3303059.2,3303059.2
id,quantity,item_price,total_sum
25026987,1,56740.41,56740.41
id,quantity,item_price,total_sum
25026711,1,19781.8,19781.8
id,quantity,item_price,total_sum
25026201,1,1649999.99,1649999.99
id,quantity,item_price,total_sum
24924708,1,1142637.86,2232142.86
id,quantity,item_price,total_sum
24924244,1,1697749.94,1791999.99
id,quantity,item_price,total_sum
24923969,1,7855696.89,11200000
id,quantity,item_price,total_sum
